,json_name,#R,#R_blk,#M_per_R,#E_per_R,#A_per_R,cost,#bad_reac,buggy
60,00--1of1.json,750,0,9.11,233.14,111.64,5.77,0,False
24,02--1of2.json,93833,0,5.92,146.06,71.52,444.86,1,False
63,02--2of2.json,46455,0,5.75,127.65,63.36,190.21,0,False
61,03--1of1.json,11576,0,5.57,104.55,53.16,39.51,0,False
28,04--1of1.json,14844,0,5.57,106.32,54.05,54.93,3,False
23,0b--1of1.json,141949,0,5.91,143.93,70.44,659.37,1,False
48,0c--1of1.json,256,0,11.0,224.0,111.25,1.97,0,False
45,0e--1of1.json,32954,0,5.8,124.43,62.04,142.38,0,False
44,0f--1of1.json,15442,0,5.51,104.28,52.89,54.89,0,False
3,10--1of1.json,384,0,6.01,138.46,67.47,2.83,0,False
0,1b--1of1.json,12869,0,5.74,110.02,55.77,49.52,1,False
36,1d--1of1.json,53107,0,5.87,134.07,66.28,240.88,0,False
19,1e--1of1.json,28236,0,5.91,121.6,60.96,120.08,1,False
62,26--1of1.json,33840,0,5.79,121.71,60.73,135.26,1,False
54,35--1of2.json,16777,0,5.43,102.72,52.01,59.27,0,False
46,35--2of2.json,7,0,11.71,384.29,182.71,0.4,0,False
20,38--1of1.json,11026,0,5.77,111.18,56.38,42.19,0,False
47,3b--1of1.json,450,0,10.0,172.24,87.01,2.61,0,False
6,44--1of1.json,33605,0,5.75,125.11,62.3,148.8,0,False
4,46--1of1.json,4312,0,6.96,251.93,119.67,30.75,0,False
30,48--1of1.json,40000,0,5.84,130.12,64.39,166.34,0,False
10,4d--1of1.json,90,0,8.0,195.02,95.42,1.82,0,False
7,4e--1of1.json,15279,0,5.71,110.97,55.99,58.78,0,False
18,51--1of1.json,15001,0,5.67,110.7,55.99,57.39,0,False
34,54--1of1.json,30000,0,5.82,129.58,64.15,125.03,0,False
31,55--1of2.json,3,0,7.67,278.0,133.67,0.02,0,False
15,55--2of2.json,48,0,8.48,107.5,58.88,1.51,0,False
39,5b--1of1.json,146885,0,5.91,144.17,70.56,693.02,4,False
25,5d--1of1.json,54763,0,5.68,134.0,66.08,246.3,0,False
22,5e--1of1.json,39,0,8.0,122.92,65.56,1.48,0,False
21,67--1of1.json,13736,0,5.57,103.63,52.86,48.86,3,False
53,68--1of3.json,19330,0,5.77,112.38,56.77,72.79,2,False
14,68--2of3.json,12743,0,5.77,112.84,57.15,51.08,0,False
1,68--3of3.json,5760,0,14.98,304.27,148.52,57.61,0,False
57,6a--1of1.json,3,0,9.67,108.0,60.0,0.02,0,False
38,70--1of1.json,43484,0,5.63,128.82,63.83,189.44,0,False
13,71--1of1.json,37039,0,5.68,131.01,64.75,167.83,0,False
43,77--1of1.json,22567,0,5.8,116.19,58.7,93.12,0,False
8,7d--1of1.json,1536,0,9.06,283.62,133.92,12.28,0,False
51,83--1of1.json,18641,0,5.82,113.92,57.52,73.84,0,False
40,84--1of1.json,91345,0,5.8,138.99,68.33,424.98,3,False
59,89--1of1.json,24,0,11.0,309.5,150.75,0.28,0,False
17,8b--1of1.json,19789,0,5.75,112.34,56.73,76.83,1,False
58,8d--1of1.json,27,0,9.04,176.96,86.19,0.21,0,False
56,99--1of1.json,70725,0,5.72,136.25,67.01,309.57,0,False
33,a3--1of1.json,11340,0,5.56,106.57,54.01,41.0,0,False
9,ac--1of1.json,1728,0,7.0,182.22,87.22,9.5,0,False
2,b2--1of1.json,147956,0,5.92,144.17,70.52,696.16,1,False
12,b4--1of1.json,1152,0,12.0,266.12,129.67,9.89,0,False
50,b8--1of1.json,42482,0,5.86,128.2,63.76,188.24,1,False
27,c1--1of1.json,20155,0,5.75,115.37,58.18,80.13,4,False
52,ca--1of1.json,13628,0,5.64,110.54,55.91,52.07,0,False
5,cb--1of1.json,288,0,8.75,219.75,105.42,3.0,0,False
16,cd--1of1.json,119693,0,5.86,141.72,69.48,561.76,2,False
37,d1--1of1.json,100264,0,5.88,139.43,68.57,451.62,0,False
29,d2--1of1.json,1728,0,11.0,227.83,113.75,14.37,0,False
11,d3--1of1.json,264,0,9.68,261.3,125.0,3.27,0,False
32,d9--1of1.json,20176,0,5.76,118.42,59.43,84.78,1,False
49,df--1of1.json,37068,0,5.88,124.56,62.16,155.83,0,False
35,e2--1of1.json,36478,0,5.73,132.33,65.41,166.68,0,False
41,f4--1of1.json,56453,0,5.72,136.18,67.06,255.72,0,False
55,f6--1of1.json,19599,0,5.82,118.52,59.67,77.08,0,False
42,fa--1of1.json,17851,0,5.44,104.49,52.67,65.53,4,False
26,fc--1of1.json,80,0,5.0,121.6,59.25,0.3,0,False
